ExperimentID,Tray Location,Pot Location,Ecotype ID,Ecotype Name,Plant ID,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16B4,7143,Gel-1,35792,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16B5,149,LDV-58,35793,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16C1,8406,Ws-2,35794,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16C2,5987,DraIV 6-16,35795,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16C3,7000,Aa-0,35796,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16C4,7102,Do-0,35797,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16C5,7195,Kl-1,35798,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16D1,7328,Sf-2,35799,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16D2,8281,cvi,35800,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16D3,8324,Ler-1,35801,,,,,,,,,,,,,,,,,,,
BVZ0072,16,16D4,8279,Col-0,35802,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1A1,8352,Oy-0,35001,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1A2,7373,Tsu-0,35002,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1A3,7165,Hn-0,35003,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1A4,7135,Fr-4,35004,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1A5,5122,UKSE06-278,35005,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1B1,8279,Col-0,35006,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1B2,8313,Jm-0,35007,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1B3,8260,Bay-0,35008,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1B4,7109,Ema-1,35009,,,,,,,,,,,,,,,,,,,
BVZ0073,1,1B5,7028,Bch-1,35010,,,,,,,,,,,,,,,,,,,
